Date,Open,High,Low,Close,Volume
19-Jan-14,71.25,71.85,71.25,71.25,338201.4
19-Jan-14,129.1,138.45,126,135.7,210563163.4
19-Jan-14,349.5,366.15,346.8,362.7,1148329366
19-Jan-14,72.85,76,70,75.25,4409781.95
19-Jan-14,462.5,480,461.7,474.55,276984068.1
19-Jan-14,127.8,127.8,120.7,122.95,3989637.15
19-Jan-14,390.95,394.05,382,388.95,85611141
19-Jan-14,762.8,775.95,747.65,764.45,1658347545
19-Jan-14,627.5,648,614,621.05,31341426.95
19-Jan-14,492.8,509,492.75,501.7,2048054.85
19-Jan-14,387,395.7,385.3,390.65,12163585.95
19-Jan-14,133,137.4,127.6,135.75,16430986.3
19-Jan-14,1376,1394.95,1375,1390.95,42197660.2
19-Jan-14,6.15,6.45,5.95,6.1,2785513.75
19-Jan-14,146.8,148.5,146,147.75,147023938
19-Jan-14,7.55,7.7,7.2,7.25,839906.3
19-Jan-14,16.9,17.45,16.2,17.25,1729774.6
19-Jan-14,290.05,299,289.65,293.6,46546212.65
19-Jan-14,350,354.9,347,351.8,142387041.5
19-Jan-14,1475.05,1493.8,1455.2,1466.85,616907270.3
19-Jan-14,20.3,20.95,19.95,20,1789025.95
19-Jan-14,14.2,19.7,14.2,19.7,22515436.75
19-Jan-14,19.2,19.45,14.9,19.1,1501709.45
19-Jan-14,348,348,337.6,342.25,10564993.45
19-Jan-14,6.5,7.3,6.3,7.3,11584839.4
19-Jan-14,74.3,74.3,73.2,73.8,24232598.75
19-Jan-14,692,695,664.5,670.25,11946967
19-Jan-14,344.1,350,332.55,346.6,55388668.75
19-Jan-14,1399,1415.35,1378,1409.4,716209020.4
19-Jan-14,3667,3696.75,3590,3627.45,17749851.2
19-Jan-14,56,59,55.25,55.8,73887431.1
19-Jan-14,1105,1130,1092,1109.05,676103375.2
19-Jan-14,117,114.8,116,116.45,4457544.15
19-Jan-14,94.5,95.85,93.7,95.4,146838178.8
19-Jan-14,158.2,159.5,153.9,154.4,44355568.55
19-Jan-14,437.4,453,436.25,446.5,201208086.1
19-Jan-14,1320,1330.95,1300.2,1322.7,72515842.4
19-Jan-14,2.85,2.85,2.75,2.75,253468.7
19-Jan-14,279,279,273,274.9,1398631
19-Jan-14,119.5,125,117.5,123.9,2773027.4
19-Jan-14,100.95,102.5,98.45,100.6,7408448.5
19-Jan-14,13.5,14.7,13.4,14.35,176061.1
19-Jan-14,603.65,605.1,600.15,602.75,493036458.7
19-Jan-14,282.9,283,277,277.9,714999.4
19-Jan-14,630,639,621,623.65,15651329.65
19-Jan-14,281.2,282,262.35,277.9,22674675.3
19-Jan-14,85,85,85,85,510000
19-Jan-14,40.55,40.95,39.15,40,25987.25
19-Jan-14,283.05,285.9,280.5,284,729609486.7
19-Jan-14,543.85,561.45,540.45,559.4,143817887.8
19-Jan-14,338,356,338,349.4,337754106.9
19-Jan-14,1160,1164.7,1145.6,1150.95,156107759.1
19-Jan-14,52.9,54.3,50.6,53.65,8339688.55
19-Jan-14,15.4,16.35,15.4,15.75,862635.15
19-Jan-14,1455,1479,1448.45,1473.65,670858735.1
19-Jan-14,80.05,82.75,79.6,80.3,1006814.6
19-Jan-14,513,522,493,507.3,5485465.25
19-Jan-14,40.45,42.45,40.45,41.25,10075846.85
19-Jan-14,134,134,130.1,132.25,893965.5
19-Jan-14,559.95,576.8,554.9,574.35,91084101.55
19-Jan-14,39.55,40,39.2,39.35,8219996.9
19-Jan-14,359.6,367.8,355.5,364,13786299.85
19-Jan-14,4.7,4.7,4.3,4.7,1509555.5
19-Jan-14,265.85,266.2,261.15,262.25,44413838.65
19-Jan-14,29.3,30.25,28.7,30.16,21914935.71
19-Jan-14,171,171,157,157,1447040
19-Jan-14,4.75,4.75,4.75,4.75,9552.25
19-Jan-14,243.5,249.95,237.25,240.35,6220040.75
19-Jan-14,1966.5,1989.6,1946.25,1965.2,27323429.85
19-Jan-14,2795,2805,2795,2804.7,2804725
19-Jan-14,269,269,261,262.55,62804251.05
19-Jan-14,100,101.6,97.7,97.7,2239384.3
19-Jan-14,176.05,177.6,174.1,175.9,71705033.85
19-Jan-14,28.1,28.95,26.7,26.95,130495.05
19-Jan-14,909,911.1,893,903.3,140553315.1
19-Jan-14,344.6,349,330.05,343.45,41749808.95
19-Jan-14,13.45,14,13.45,13.85,131478.4
19-Jan-14,82.9,82.9,80.2,81.75,4662855
19-Jan-14,588.25,678,586,653.55,1170196113
19-Jan-14,90.95,93.75,89.35,92.8,193604153.8
19-Jan-14,362.3,367.35,358.7,363.8,205073550.6
19-Jan-14,3100.35,3131,3006.6,3028.4,205192192
19-Jan-14,125,125.35,117.8,119.35,37940109.05
19-Jan-14,124,127.95,123,127,266271.55
19-Jan-14,131,131.95,126.55,128.85,23653868.75
19-Jan-14,353.9,356.85,346,352.75,52544921.8
19-Jan-14,940.65,957.5,934.95,946.2,136035786.6
19-Jan-14,68.4,71.8,65.3,71.7,105591455.9
19-Jan-14,345,365,345,360.95,196084979.1
19-Jan-14,144.2,190.55,142.3,149.65,417638237
19-Jan-14,112.5,113.7,110,112,2369469.7
19-Jan-14,569,574.9,563.15,569.1,136802991.9
19-Jan-14,42.95,43.75,41.45,42.85,11279158.65
19-Jan-14,598,614.95,586.6,610.55,2255500
19-Jan-14,398,400.8,387,389.85,51438727.95
19-Jan-14,287.5,292.35,278.2,282.45,383675999.1
19-Jan-14,214,225,215.25,214.35,20019519.45
19-Jan-14,322.1,340.9,314.4,337.3,1570472087
19-Jan-14,70,70,68.05,68.05,6902.5
19-Jan-14,123.6,125.9,117.25,121.5,99953762.95
19-Jan-14,26.05,26.4,25.65,26.1,78567100.95
19-Jan-14,289,293.7,281,282.8,2842384.55
19-Jan-14,85.25,85.25,84.1,84.55,1014200
19-Jan-14,1746,1799,1696.95,1789.4,4234738.95
19-Jan-14,197,197.35,192.6,193.25,58909576.55
19-Jan-14,29.2,29.25,28.45,28.75,21694883
19-Jan-14,779.85,790,761.45,782.1,17956446.1
19-Jan-14,25.5,26.2,24,25.85,2684245
19-Jan-14,590.15,615.15,582.65,612.5,1955593424
19-Jan-14,1008,1008,1000.15,1008,65386.8
19-Jan-14,1037,1037,1034,1034.83,363655
19-Jan-14,1062,1064.4,1062,1064,1422177.62
19-Jan-14,1028,1080,1028,1028,130555
19-Jan-14,1026,1027,1026,1027,305946
19-Jan-14,1048,1048,1045.5,1045.5,261625
19-Jan-14,456.6,484.5,454,474.95,1940582
19-Jan-14,1174.85,1176.9,1141.15,1159.95,23911971.85
19-Jan-14,19.8,20.4,14.55,19.25,3433891
19-Jan-14,580,591.05,570.2,584.35,1563132.4
19-Jan-14,14.4,14.5,13.85,13.95,1785073.5
19-Jan-14,73,73.95,72.1,72.65,341082668.5
19-Jan-14,1090,1103.6,1082.6,1098.3,352893995.2
19-Jan-14,3779.85,3890,3745,3830.15,207123696.9
19-Jan-14,249,252.75,245.55,249.3,1623102841
19-Jan-14,131.2,135.75,128,130.5,21471996.7
19-Jan-14,1138.8,1154,1126,1144.35,275315531.3
19-Jan-14,10.75,11,9.7,9.95,1472173.1
19-Jan-14,453.9,458.45,450,455.4,4137879.25
19-Jan-14,131.25,132.5,124.1,128.05,42385114.75
19-Jan-14,71.05,73.45,71,72.65,1471914.35
19-Jan-14,72.4,74.4,72.4,73.95,2050400
19-Jan-14,168.1,170.75,162.5,164.7,10341497.75
19-Jan-14,30.45,31,29.4,29.75,3357160.9
19-Jan-14,88.2,88.2,88.1,88.1,423200
19-Jan-14,17.95,14.55,17.9,14,1155788.85
19-Jan-14,764.4,768,743.95,747,177123713
19-Jan-14,22.75,22.75,20.5,21,764400
19-Jan-14,2467,2505,2452,2490.35,598060841.5
19-Jan-14,22,22.7,20.9,21.35,1207714.15
19-Jan-14,46.9,49.9,46.5,48.3,1170734.35
19-Jan-14,424,447.55,412.6,427.9,3086140.25
19-Jan-14,48.25,48.8,46.7,47.45,12253155.9
19-Jan-14,45,45.85,44.2,44.7,79036006.55
19-Jan-14,1988.65,1988.65,1948,1951.45,7406717.3
19-Jan-14,214.95,216.5,203,205.55,7053922.3
19-Jan-14,5.95,5.95,5.5,5.55,365374.2
19-Jan-14,22.85,22.85,21.25,21.3,667967
19-Jan-14,338.5,367,338.5,343.5,509269.8
19-Jan-14,1531,1550,1526.5,1540.2,75623312.65
19-Jan-14,1044.95,1050,1035,1035,420633.24
19-Jan-14,1073.98,1073.98,1069.1,1069.1,105985.83
19-Jan-14,1010,1014.95,1010,1010.82,6064.95
19-Jan-14,1400,1400,1400,1400,7000
19-Jan-14,275.85,282,270.65,280.05,598093479.9
19-Jan-14,59.1,59.2,59.1,59.1,507807.2
19-Jan-14,7.75,7.75,7.75,7.75,251495.25
19-Jan-14,1050.1,1059,1050.1,1059,73578.2
19-Jan-14,1040,1041,1040,1040.39,83225.5
19-Jan-14,1106,1108.45,1106,1107,562339.4
19-Jan-14,27880,28148.35,27751,28009.45,908354739.2
19-Jan-14,364,364.5,352.65,358.75,26632024.15
19-Jan-14,134.2,140,134.2,140,1640800
19-Jan-14,525.35,549.8,519.95,527.05,4508853.6
19-Jan-14,204.1,207,192.35,198.75,46706448
19-Jan-14,522,530.75,522,525.35,761312.8
19-Jan-14,61.95,62.9,60.25,61.85,59008904.95
19-Jan-14,14.7,19,14.15,14.35,351412.3
19-Jan-14,88.45,93.5,86.6,92,72814147.45
19-Jan-14,35.65,35.85,34.85,35.25,14055996.8
19-Jan-14,163.1,164.5,160.15,162.85,679875.5
19-Jan-14,300,305,299.25,302.1,5483326.8
19-Jan-14,51.9,52,50.05,51.05,3070740.85
19-Jan-14,343.95,359.4,343.5,347.65,47272255.15
19-Jan-14,1268,1269.9,1247.1,1262.25,39852113.4
19-Jan-14,19.5,21.25,14.85,21.25,11409793.7
19-Jan-14,212.05,220,212.05,215.3,4352483.35
19-Jan-14,214.1,219.65,215.25,217.85,2447075.75
19-Jan-14,1283.95,1286,1245.05,1280,120888490
19-Jan-14,32.15,32.8,30.25,30.95,17274439.65
19-Jan-14,179,141.45,176.85,140.55,284558315.3
19-Jan-14,782.15,782.2,765.8,778.5,2560103.9
19-Jan-14,109.05,113,108.5,109,1681099.05
19-Jan-14,231.08,252.5,231.08,240,16999.1
19-Jan-14,151.05,155.95,150,155.15,361799681.6
19-Jan-14,774.9,785,766.55,780,21352046.85
19-Jan-14,223.4,228.9,221.55,224.55,112621713.9
19-Jan-14,820,826.8,803,814.65,6906562.95
19-Jan-14,760,777.9,758,772.45,600260147.1
19-Jan-14,5.05,5.05,5.05,5.05,8803897.3
19-Jan-14,28.8,28.95,27.75,28.7,2640914.55
19-Jan-14,82.1,85,81.6,81.65,1774732.45
19-Jan-14,296.35,298.05,292.25,296.25,5534286.45
19-Jan-14,61.75,63.4,58.2,59.6,16814702.7
19-Jan-14,7.75,8.05,7.5,7.7,493443.15
19-Jan-14,2.6,2.6,2.6,2.6,520
19-Jan-14,35.3,36.9,34.2,35.5,30200.8
19-Jan-14,445.8,452.6,442.15,443.55,22522032.95
19-Jan-14,584.5,593.7,571,583.4,17995164.65
19-Jan-14,113.8,113.8,105.65,109,3075049
19-Jan-14,3319,3477,3306,3409.5,159586059.5
19-Jan-14,735,742,714,729.35,10141940.2
19-Jan-14,220.5,223.95,219.4,221.2,264096266.4
19-Jan-14,56.9,59,55.15,57.95,22245306.3
19-Jan-14,433.2,442.05,399.5,411.35,21453541.1
19-Jan-14,78.2,80.15,75.2,76.45,142900540.4
19-Jan-14,68,68.8,66.5,68.25,213633510.1
19-Jan-14,240,244.8,235,238.55,9034947
19-Jan-14,78,78.6,76.15,77.4,12275905.95
19-Jan-14,102,104.25,101.15,103.15,1381095305
19-Jan-14,46,46.45,45.5,45.8,43904328.25
